,CEOsalary,admin_exp,gov_grant,liab_to_assets,mkting_exp,name,perc_admin_exp,perc_fundraising_exp,perc_program_exp,prog_rev,program_exp_growth,revenue,service_rev,state,tpscore,url,wking_cap_ratio,yr_founded
0,"$136,400","$88,924",$0,  1.3%,"$161,060",Greenville Humane Society,  3.5%,  3.4%, 93.0%,"$4,697,776", 11.4%,"$2,597,817","$2,099,959",SC,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7978,2.19,1949
1,"$57,468","$105,750",$0,  3.0%,"$153,331",Heartland Humane Society, 12.8%, 12.2%, 74.8%,"$640,305",  1.9%,"$431,075","$209,230",OR,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6414,1.61,1973
2,"$73,600","$136,868",$0,  6.1%,"$100,919",Purrfect Pals, 12.3%,  7.0%, 80.6%,"$1,270,373",  5.6%,"$1,270,373",$0,WA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17373,1.12,1991
3,"$73,331","$363,768",$0,  4.0%,"$141,286",Ramona Humane Society, 12.9%,  5.1%, 81.9%,"$2,119,091",  2.0%,"$324,098","$1,794,993",CA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5156,1.35,1974
4,"$113,512","$313,764","$30,000",  0.5%,"$109,598",Rancho Coastal Humane Society, 12.4%,  2.7%, 84.7%,"$2,945,273", 14.3%,"$1,937,955","$1,007,318",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7473,2.73,1967
5,"$102,019","$235,568",$0,  1.1%,"$199,673",RedRover, 11.1%,  9.5%, 79.2%,"$3,263,685", 14.8%,"$3,243,135","$20,550",CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7707,3.33,1992
6,"$201,942","$568,189",$0, 18.4%,"$430,366",Richmond SPCA,  9.1%,  7.3%, 83.4%,"$5,121,242",  5.8%,"$3,689,605","$1,431,637",VA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5485,6.04,1942
7,"$81,935","$153,015",$600,  0.8%,"$98,197",Roanoke Valley SPCA, 16.4%,  9.7%, 73.7%,"$1,907,237", -10.1%,"$1,760,229","$147,008",VA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8277,3.40,1958
8,"$130,917","$588,581",$0,  4.8%,"$935,606",Sacramento SPCA,  7.3%, 12.4%, 80.2%,"$8,325,068",  -4.6%,"$6,413,487","$1,911,581",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5793,1.67,1957
9,"$337,055","$889,063",$0,  2.4%,"$1,538,002",Helen Woodward Animal Center,  9.9%, 16.7%, 73.3%,"$9,661,157", 10.2%,"$5,248,245","$4,412,912",CA,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3812,2.84,1972
10,"$125,851","$121,486",$0, 18.0%,"$169,477",Helping Hands: Monkey Helpers,  7.3%,  6.3%, 86.3%,"$1,101,236",  2.3%,"$1,101,236",$0,MA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12495,2.39,1983
11,"$332,160","$1,607,401",$0, 21.5%,"$2,990,520",The Seeing Eye,  6.2%, 10.0%, 83.7%,"$17,045,413",  3.5%,"$16,938,688","$106,725",NJ,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4460,8.40,1935
12,"$87,239","$138,186",$0,  0.3%,"$64,284",Sioux Falls Area Humane Society,  8.8%,  5.3%, 85.7%,"$928,633",  8.0%,"$505,600","$423,033",SD,73,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5362,19.27,1965
13,"$94,048","$128,636",$0,  2.0%,"$117,848",Society for the Improvement of Conditions for Stray Animals,  9.0%,  5.8%, 85.0%,"$2,015,012", 11.7%,"$1,684,294","$330,718",OH,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6093,3.32,1974
14,"$259,402","$769,994",$0,  2.6%,"$1,062,465",Southeastern Guide Dogs,  9.5%, 11.5%, 78.9%,"$17,773,743",  3.4%,"$17,773,743",$0,FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8896,5.44,1983
15,"$27,223","$93,467",$0,  1.0%,"$108,553",Southern Oregon Humane Society, 10.7%, 12.5%, 76.6%,"$1,084,414",  5.6%,"$822,842","$261,572",OR,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8135,3.13,1953
16,"$70,000","$155,497","$143,834", 20.4%,"$81,229",Spartanburg Humane Society, 11.5%,  7.0%, 81.3%,"$1,987,219",  -8.9%,"$1,584,535","$402,684",SC,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12753,1.12,1964
17,"$148,396","$362,760",$0, 32.6%,"$393,016","Spay-Neuter Assistance Program, Inc.",  5.7%,  6.4%, 87.8%,"$4,868,965",  9.5%,"$617,887","$4,251,078",TX,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7337,0.19,1999
